brand,ram,storage,screen_size,weight,battery_life,operating_system,price,GPU_brand,easly_reapairable
Microsoft,54,3803,10.9,2.17,8.9,macOS,2777.56,amd,true
Toshiba,61,1797,10.9,5.97,3.0,Windows,3493.23,intel,false
Sony,39,2303,15.7,3.86,2.4,Chrome OS,408.63,nvidia,false
Asus,35,3161,10.3,9.65,3.0,Windows,2579.38,intel,false
Acer,12,619,10.8,3.86,11.7,macOS,2284.86,nvidia,true
Asus,49,3723,14.3,6.61,2.2,macOS,2545.66,nvidia,true
Apple,58,880,15.2,6.93,4.7,Linux,420.75,amd,false
Apple,8,3266,13.3,9.17,6.0,Windows,3247.56,amd,true
Sony,62,1271,14.0,1.49,9.6,Chrome OS,2817.89,intel,false
HP,34,2975,14.7,6.91,4.3,macOS,811.21,nvidia,true
Sony,29,1748,15.9,6.31,6.7,Linux,1375.39,intel,true
Dell,22,1304,10.1,6.85,4.9,macOS,4917.81,amd,true
Toshiba,32,2903,10.3,4.93,6.4,Linux,2162.24,intel,false
Acer,26,3716,12.7,2.0,3.2,Linux,1232.72,nvidia,false
Apple,12,2099,15.9,9.17,4.5,Chrome OS,1201.5,nvidia,false
Asus,24,1143,12.4,4.42,3.4,Chrome OS,2203.97,amd,true
Dell,17,1796,14.0,5.93,11.1,Windows,1603.79,nvidia,false
HP,2,2641,10.2,3.09,7.1,Windows,2769.75,nvidia,true
Dell,8,2230,10.0,6.67,9.6,Windows,4379.56,amd,false
Acer,38,2801,16.0,3.38,5.1,macOS,961.14,amd,false
Asus,29,3746,16.3,6.98,7.6,Windows,2148.57,intel,false
Samsung,24,1431,14.4,8.07,3.2,Windows,2547.26,nvidia,true
Microsoft,26,2234,13.7,1.62,11.6,Linux,3492.01,amd,true
Asus,31,2872,16.5,4.73,3.0,macOS,4517.69,intel,false
Apple,4,1814,15.6,1.19,3.7,Chrome OS,4997.99,amd,false
Microsoft,13,3241,11.1,3.04,3.1,Windows,2660.29,intel,true
Dell,35,3775,13.3,5.86,11.4,Linux,3594.99,intel,false
Sony,29,3534,12.2,4.46,10.1,macOS,1176.36,amd,true
Toshiba,38,2726,10.5,9.2,10.2,Windows,4892.3,amd,false
Apple,62,300,10.5,3.83,6.0,Linux,402.61,nvidia,true
Dell,44,1807,15.4,5.19,10.2,Linux,2015.2,amd,false
HP,29,3307,11.8,7.93,2.5,macOS,4577.92,nvidia,false
HP,34,1305,11.2,9.84,5.2,macOS,1816.87,nvidia,true
Lenovo,17,613,11.2,3.43,10.1,Chrome OS,4665.59,amd,true
Dell,46,3701,15.2,2.35,11.5,macOS,677.69,intel,true
HP,54,3130,13.9,8.2,6.0,Windows,4325.4,nvidia,false
HP,50,679,14.1,3.13,8.7,Chrome OS,1335.26,amd,true
Apple,38,276,15.5,5.16,2.6,Windows,4874.8,nvidia,false
